age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,outcome,log_dur
44,entrepreneur,married,secondary,no,6649,yes,no,cellular,19,nov,354,2,-1,0,unknown,no,0,2.5490032620257876
45,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no,0,2.143014800254095
47,unemployed,married,primary,no,168,yes,no,telephone,30,jan,66,1,241,1,other,no,0,1.8195439355418688
46,blue-collar,married,secondary,no,781,no,no,unknown,13,may,152,1,-1,0,unknown,no,0,2.1818435879447726
30,management,single,tertiary,no,6495,no,no,cellular,30,mar,78,3,-1,0,unknown,no,0,1.8920946026904804
45,blue-collar,married,primary,no,97,yes,no,unknown,7,may,923,3,-1,0,unknown,no,0,2.965201701025912
49,technician,married,secondary,no,12531,no,no,cellular,13,aug,77,8,-1,0,unknown,no,0,1.8864907251724818
36,blue-collar,married,secondary,no,-73,yes,yes,cellular,18,may,15,8,-1,0,unknown,no,0,1.1760912590556813
41,blue-collar,married,primary,no,2067,yes,no,cellular,15,may,493,7,-1,0,unknown,no,0,2.69284691927723
27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,no,0,2.761927838420529
49,unknown,married,secondary,no,0,no,no,cellular,28,aug,173,2,-1,0,unknown,no,0,2.2380461031287955
33,unemployed,divorced,secondary,no,385,no,no,telephone,27,aug,29,28,-1,0,unknown,no,0,1.462397997898956
32,technician,married,secondary,no,286,no,no,cellular,20,apr,60,1,343,4,failure,no,0,1.7781512503836436
34,technician,single,secondary,no,2729,yes,no,cellular,6,apr,945,1,139,1,success,no,0,2.975431808509263
52,technician,single,tertiary,no,1308,yes,no,unknown,29,may,361,1,-1,0,unknown,no,0,2.5575072019056577
56,technician,married,secondary,no,150,yes,yes,cellular,11,may,102,6,349,1,failure,no,0,2.0086001717619175
32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no,0,1.9242792860618816
36,blue-collar,married,primary,no,973,yes,yes,unknown,23,may,293,1,-1,0,unknown,no,0,2.4668676203541096
45,technician,married,secondary,no,1415,yes,no,cellular,24,jul,311,1,-1,0,unknown,no,0,2.4927603890268375
31,blue-collar,divorced,secondary,no,6,yes,no,cellular,29,jan,821,1,-1,0,unknown,no,0,2.9143431571194407
29,technician,single,tertiary,no,828,yes,no,cellular,16,apr,215,3,321,3,other,no,0,2.3324384599156054
35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,failure,no,0,2.6314437690131722
21,student,single,unknown,no,137,yes,no,unknown,12,may,198,3,-1,0,unknown,no,0,2.296665190261531
49,management,single,tertiary,no,588,no,no,cellular,28,aug,70,9,-1,0,unknown,no,0,1.845098040014257
43,blue-collar,married,secondary,no,-179,yes,no,cellular,30,jul,335,6,-1,0,unknown,no,0,2.525044807036845
44,blue-collar,married,primary,no,-237,yes,no,telephone,10,jul,73,1,-1,0,unknown,no,0,1.863322860120456
49,self-employed,married,primary,no,489,yes,no,unknown,27,may,84,4,-1,0,unknown,no,0,1.9242792860618816
27,services,single,secondary,no,0,yes,no,unknown,7,may,388,7,-1,0,unknown,no,0,2.5888317255942073
38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,no,0,2.3502480183341627
31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380,1,-1,0,unknown,no,0,2.57978359661681
49,management,married,tertiary,no,87,no,no,cellular,29,jan,165,1,-1,0,unknown,no,0,2.2174839442139063
34,technician,single,secondary,no,0,no,no,cellular,21,aug,163,2,-1,0,unknown,no,0,2.2121876044039577
43,services,married,secondary,no,642,no,no,cellular,31,jul,644,2,-1,0,unknown,no,0,2.808885867359812
47,management,divorced,tertiary,no,2515,no,no,unknown,20,jun,40,3,-1,0,unknown,no,0,1.6020599913279625
46,blue-collar,married,primary,no,0,yes,no,unknown,12,may,51,9,-1,0,unknown,no,0,1.7075701760979363
59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,unknown,no,0,1.6434526764861874
51,housemaid,married,unknown,no,174,no,no,telephone,29,jul,308,3,-1,0,unknown,no,0,2.4885507165004443
27,self-employed,single,secondary,no,49,yes,no,cellular,30,jan,208,2,-1,0,unknown,no,0,2.3180633349627615
56,admin.,married,secondary,no,2146,no,yes,unknown,9,jun,594,1,-1,0,unknown,no,0,2.7737864449811935
54,blue-collar,married,secondary,no,448,yes,yes,cellular,5,aug,98,1,-1,0,unknown,no,0,1.9912260756924949
46,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no,0,1.462397997898956
36,services,married,secondary,no,1746,yes,no,unknown,26,may,99,1,-1,0,unknown,no,0,1.99563519459755
62,management,married,tertiary,no,0,no,no,cellular,13,oct,78,3,-1,0,unknown,no,0,1.8920946026904804
43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11,7,-1,0,unknown,no,0,1.041392685158225
42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,unknown,no,0,2.8129133566428557
45,admin.,married,secondary,no,194,no,no,cellular,31,jul,517,4,-1,0,unknown,no,0,2.7134905430939424
55,services,divorced,primary,no,2923,yes,no,unknown,15,may,104,2,-1,0,unknown,no,0,2.0170333392987803
47,services,married,secondary,no,51,yes,yes,unknown,16,may,312,1,-1,0,unknown,no,0,2.494154594018443
29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no,0,2.361727836017593
22,student,single,unknown,no,47,no,no,cellular,3,jul,69,3,-1,0,unknown,no,0,1.8388490907372552
34,management,single,tertiary,no,6766,no,no,cellular,28,aug,210,5,-1,0,unknown,no,0,2.322219294733919
31,management,single,tertiary,no,1130,yes,no,cellular,17,apr,224,3,74,4,failure,no,0,2.3502480183341627
57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no,0,2.437750562820388
46,technician,divorced,secondary,no,435,yes,no,unknown,15,may,192,3,-1,0,unknown,no,0,2.2833012287035497
55,technician,single,secondary,no,3339,yes,no,unknown,2,jun,63,1,-1,0,unknown,no,0,1.7993405494535817
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no,0,2.155336037465062
55,services,married,unknown,no,1210,yes,no,unknown,30,may,868,1,-1,0,unknown,no,0,2.938519725176492
30,management,single,tertiary,no,-218,yes,no,cellular,27,aug,13,15,-1,0,unknown,no,0,1.1139433523068367
33,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,no,0,2.294466226161593
51,admin.,married,secondary,no,2967,no,no,unknown,17,jun,83,2,-1,0,unknown,no,0,1.919078092376074
37,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no,0,2.012837224705172
36,blue-collar,single,primary,no,1313,yes,no,unknown,20,jun,8,10,-1,0,unknown,no,0,0.9030899869919435
48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,445,3,-1,0,unknown,no,0,2.6483600109809315
28,technician,single,secondary,no,1453,yes,no,cellular,12,may,246,1,343,1,other,no,0,2.3909351071033793
50,entrepreneur,married,secondary,no,806,yes,yes,cellular,7,may,141,8,297,2,other,no,0,2.1492191126553797
34,blue-collar,married,primary,no,428,yes,no,cellular,18,may,59,2,-1,0,unknown,no,0,1.7708520116421442
33,blue-collar,married,secondary,no,-346,yes,yes,unknown,23,may,29,3,-1,0,unknown,no,0,1.462397997898956
56,services,married,secondary,no,-229,no,yes,cellular,23,jul,55,10,-1,0,unknown,no,0,1.7403626894942439
47,management,married,tertiary,no,286,no,no,cellular,22,aug,557,7,-1,0,unknown,no,0,2.745855195173729
56,admin.,divorced,secondary,yes,-435,yes,yes,unknown,9,may,185,2,-1,0,unknown,no,0,2.2671717284030137
53,blue-collar,married,secondary,no,65,no,no,cellular,28,aug,25,18,-1,0,unknown,no,0,1.3979400086720377
23,services,single,secondary,no,250,yes,no,cellular,18,may,222,1,-1,0,unknown,no,0,2.346352974450639
32,student,single,tertiary,no,0,no,no,cellular,6,aug,101,5,3,6,other,no,0,2.0043213737826426
39,admin.,divorced,secondary,no,83,yes,no,cellular,30,jul,69,6,-1,0,unknown,no,0,1.8388490907372552
49,blue-collar,married,secondary,no,579,yes,no,unknown,28,may,396,1,-1,0,unknown,no,0,2.597695185925512
49,technician,married,tertiary,no,279,yes,no,unknown,19,may,168,4,-1,0,unknown,no,0,2.225309281725863
33,technician,single,tertiary,no,696,no,yes,cellular,5,feb,193,1,176,8,failure,no,0,2.285557309007774
37,blue-collar,divorced,primary,no,511,yes,no,telephone,11,may,42,1,-1,0,unknown,no,0,1.6232492903979006
50,unemployed,divorced,secondary,no,717,yes,no,cellular,30,jan,113,1,-1,0,unknown,no,0,2.05307844348342
55,self-employed,married,secondary,no,2678,no,yes,cellular,18,aug,151,12,-1,0,unknown,no,0,2.1789769472931693
46,blue-collar,married,primary,no,258,yes,no,unknown,27,may,217,1,-1,0,unknown,no,0,2.3364597338485296
50,admin.,married,secondary,no,0,no,no,cellular,4,aug,86,4,-1,0,unknown,no,0,1.9344984512435677
43,technician,single,secondary,no,34,no,no,telephone,30,jul,29,1,-1,0,unknown,no,0,1.462397997898956
46,entrepreneur,married,unknown,no,242,yes,no,unknown,9,may,332,2,-1,0,unknown,no,0,2.5211380837040362
58,management,married,tertiary,no,172,no,no,cellular,19,aug,145,7,-1,0,unknown,no,0,2.161368002234975
54,blue-collar,married,primary,no,2281,yes,no,unknown,20,jun,158,1,-1,0,unknown,no,0,2.1986570869544226
45,admin.,married,unknown,no,1783,no,no,unknown,20,jun,11,11,-1,0,unknown,no,0,1.041392685158225
55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no,0,2.3443922736851106
40,management,married,tertiary,no,1584,yes,no,telephone,21,nov,661,1,-1,0,unknown,no,0,2.82020145948564
33,technician,married,tertiary,no,75,no,no,cellular,21,jul,204,4,-1,0,unknown,no,0,2.3096301674258988
31,blue-collar,married,secondary,no,-498,yes,no,cellular,21,jul,357,1,-1,0,unknown,no,0,2.552668216112193
50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no,0,2.828015064223977
48,management,married,tertiary,no,866,no,no,cellular,29,jan,146,2,-1,0,unknown,no,0,2.164352855784437
42,blue-collar,married,primary,no,260,yes,no,telephone,31,jul,175,2,-1,0,unknown,no,0,2.2430380486862944
32,blue-collar,married,secondary,no,478,yes,no,unknown,3,jun,200,1,-1,0,unknown,no,0,2.3010299956639813
42,entrepreneur,married,primary,yes,66,yes,yes,cellular,6,feb,139,1,-1,0,unknown,no,0,2.143014800254095
26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,181,5,-1,0,unknown,no,0,2.2576785748691846
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413,2,-1,0,unknown,no,0,2.615950051656401
31,services,married,secondary,no,500,yes,no,unknown,6,jun,19,18,-1,0,unknown,no,0,1.2787536009528289
34,admin.,married,tertiary,no,35,yes,no,cellular,15,oct,76,1,69,2,failure,no,0,1.8808135922807914
30,technician,single,secondary,no,102,yes,no,unknown,7,may,614,2,-1,0,unknown,no,0,2.788168371141168
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342,3,332,1,other,no,0,2.534026106056135
54,management,divorced,tertiary,no,0,no,yes,cellular,10,jul,88,1,-1,0,unknown,no,0,1.9444826721501687
40,blue-collar,married,secondary,no,498,yes,no,cellular,8,may,55,2,298,4,failure,no,0,1.7403626894942439
41,entrepreneur,married,secondary,no,2105,yes,no,cellular,18,nov,134,1,-1,0,unknown,no,0,2.1271047983648077
56,admin.,married,unknown,no,2038,no,no,cellular,8,feb,405,1,305,1,success,no,0,2.6074550232146687
34,management,married,tertiary,no,1518,yes,no,cellular,20,nov,128,2,-1,0,unknown,no,0,2.1072099696478683
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471,2,-1,0,unknown,no,0,2.673020907128896
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no,0,2.173186268412274
43,blue-collar,married,secondary,no,105,no,yes,cellular,4,jul,668,2,-1,0,unknown,no,0,2.824776462475546
49,admin.,married,secondary,no,635,no,no,cellular,25,aug,220,3,-1,0,unknown,no,0,2.342422680822206
28,technician,single,secondary,yes,-298,yes,no,unknown,3,jun,559,7,-1,0,unknown,no,0,2.747411807886423
42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no,0,2.574031267727719
36,management,married,tertiary,no,1852,no,no,unknown,8,may,362,1,-1,0,unknown,no,0,2.558708570533166
45,entrepreneur,married,tertiary,no,0,yes,no,cellular,29,jul,100,3,-1,0,unknown,no,0,2.0
40,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no,0,2.718501688867274
33,management,married,tertiary,no,287,yes,no,cellular,15,may,199,2,274,3,other,no,0,2.298853076409707
27,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no,0,2.5854607295085006
28,blue-collar,married,secondary,no,131,yes,no,unknown,12,may,147,5,-1,0,unknown,no,0,2.167317334748176
40,management,single,unknown,no,838,yes,no,unknown,12,may,619,3,-1,0,unknown,no,0,2.791690649020118
39,admin.,single,secondary,no,1242,yes,no,unknown,12,may,303,3,-1,0,unknown,no,0,2.481442628502305
31,technician,single,tertiary,no,424,no,no,cellular,21,aug,93,2,-1,0,unknown,no,0,1.968482948553935
46,blue-collar,married,secondary,no,5,no,no,cellular,18,aug,71,3,-1,0,unknown,no,0,1.8512583487190752
25,admin.,single,tertiary,no,1420,no,no,cellular,8,apr,124,2,-1,0,unknown,no,0,2.093421685162235
31,management,single,tertiary,no,574,yes,no,cellular,16,jul,410,2,-1,0,unknown,no,0,2.6127838567197355
38,technician,single,tertiary,no,2273,yes,no,cellular,17,apr,222,1,-1,0,unknown,no,0,2.346352974450639
27,services,married,secondary,no,58,yes,no,cellular,7,may,113,1,337,2,other,no,0,2.05307844348342
31,management,married,tertiary,no,0,no,no,unknown,14,may,298,1,-1,0,unknown,no,0,2.4742162640762553
28,admin.,single,secondary,no,89,yes,yes,cellular,6,feb,172,2,-1,0,unknown,no,0,2.2355284469075487
39,self-employed,married,secondary,no,167,yes,yes,cellular,17,jul,330,1,-1,0,unknown,no,0,2.5185139398778875
55,retired,married,tertiary,no,197,no,yes,cellular,8,jul,256,1,-1,0,unknown,no,0,2.4082399653118496
26,self-employed,single,tertiary,no,1153,no,no,cellular,4,may,238,3,-1,0,unknown,no,0,2.376576957056512
31,services,single,secondary,no,11386,yes,no,cellular,20,nov,356,1,-1,0,unknown,no,0,2.5514499979728753
36,blue-collar,divorced,secondary,no,-140,yes,no,unknown,26,may,222,2,-1,0,unknown,no,0,2.346352974450639
33,services,married,secondary,no,-333,yes,no,cellular,30,jul,329,5,-1,0,unknown,no,0,2.5171958979499744
24,blue-collar,married,secondary,no,9,yes,no,unknown,27,may,292,7,-1,0,unknown,no,0,2.4653828514484184
54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275,2,-1,0,unknown,no,0,2.439332693830263
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71,2,-1,0,unknown,no,0,1.8512583487190752
34,services,married,secondary,no,2211,no,no,unknown,8,may,149,1,-1,0,unknown,no,0,2.173186268412274
48,blue-collar,married,secondary,no,841,yes,no,unknown,19,may,215,1,-1,0,unknown,no,0,2.3324384599156054
40,management,married,tertiary,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no,0,2.2764618041732443
46,technician,married,tertiary,no,405,no,no,cellular,11,aug,138,3,-1,0,unknown,no,0,2.1398790864012365
26,services,single,secondary,no,50,yes,no,cellular,12,aug,153,1,-1,0,unknown,no,0,2.184691430817599
47,technician,married,unknown,no,2106,yes,no,unknown,6,may,168,1,-1,0,unknown,no,0,2.225309281725863
32,technician,married,secondary,no,253,yes,no,unknown,4,jun,257,3,-1,0,unknown,no,0,2.4099331233312946
53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99,1,-1,0,unknown,no,0,1.99563519459755
45,management,single,tertiary,no,16,no,no,cellular,31,jul,59,2,-1,0,unknown,no,0,1.7708520116421442
53,entrepreneur,married,unknown,no,7,no,no,cellular,20,nov,68,1,-1,0,unknown,no,0,1.8325089127062364
30,blue-collar,single,secondary,no,363,no,no,cellular,28,jul,171,3,-1,0,unknown,no,0,2.2329961103921536
47,blue-collar,married,secondary,yes,-614,yes,no,unknown,26,may,118,2,-1,0,unknown,no,0,2.0718820073061255
34,management,married,tertiary,no,1906,yes,no,cellular,14,jul,68,3,-1,0,unknown,no,0,1.8325089127062364
28,blue-collar,married,secondary,no,100,yes,yes,unknown,27,may,132,2,-1,0,unknown,no,0,2.12057393120585
40,management,married,tertiary,no,8902,yes,no,cellular,14,aug,464,5,-1,0,unknown,no,0,2.6665179805548807
26,self-employed,single,tertiary,no,211,no,no,cellular,29,jan,168,3,-1,0,unknown,no,0,2.225309281725863
52,management,married,tertiary,no,3163,no,no,cellular,25,aug,56,6,-1,0,unknown,no,0,1.7481880270062005
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,unknown,no,0,1.6334684555795866
55,retired,married,secondary,no,4194,no,yes,telephone,30,jul,208,3,-1,0,unknown,no,0,2.3180633349627615
34,management,married,tertiary,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no,0,2.5575072019056577
26,services,single,secondary,no,0,no,no,cellular,29,jul,165,23,-1,0,unknown,no,0,2.2174839442139063
38,management,single,tertiary,no,5244,no,no,cellular,8,aug,310,4,-1,0,unknown,no,0,2.4913616938342726
44,management,married,tertiary,no,17361,no,no,unknown,18,jun,476,1,-1,0,unknown,no,0,2.677606952720493
32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no,0,2.214843848047698
56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,failure,no,0,1.7160033436347992
33,management,married,tertiary,no,2098,no,no,cellular,20,nov,67,1,-1,0,unknown,no,0,1.8260748027008264
33,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no,0,2.4471580313422194
39,blue-collar,married,secondary,no,285,yes,yes,unknown,6,may,209,1,-1,0,unknown,no,0,2.320146286111054
58,admin.,married,secondary,no,2,yes,yes,telephone,25,jul,282,9,-1,0,unknown,no,0,2.450249108319361
37,services,married,secondary,no,4760,yes,no,cellular,20,nov,187,2,-1,0,unknown,no,0,2.271841606536499
35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,success,no,0,2.4424797690644486
31,management,married,tertiary,no,4945,no,no,cellular,11,aug,445,1,-1,0,unknown,no,0,2.6483600109809315
38,admin.,married,secondary,no,3190,yes,no,unknown,20,jun,20,2,-1,0,unknown,no,0,1.3010299956639813
34,blue-collar,married,secondary,no,2542,yes,no,cellular,14,may,228,1,-1,0,unknown,no,0,2.357934847000454
53,services,married,secondary,no,1378,yes,no,cellular,18,jul,91,2,-1,0,unknown,no,0,1.9590413923210936
45,unemployed,divorced,primary,no,757,no,no,cellular,20,apr,103,1,325,4,failure,no,0,2.012837224705172
43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,unknown,no,0,2.5211380837040362
43,blue-collar,married,secondary,no,1335,yes,no,unknown,6,may,371,2,-1,0,unknown,no,0,2.569373909615046
50,admin.,married,primary,no,276,no,yes,unknown,17,jun,641,6,-1,0,unknown,no,0,2.8068580295188172
37,technician,married,unknown,no,47,no,no,unknown,19,jun,374,3,-1,0,unknown,no,0,2.5728716022004803
46,services,married,secondary,no,2420,no,no,cellular,19,nov,405,2,-1,0,unknown,no,0,2.6074550232146687
44,technician,married,tertiary,no,1707,no,no,cellular,8,aug,406,3,-1,0,unknown,no,0,2.6085260335771943
25,student,single,secondary,no,1790,no,no,cellular,17,apr,224,1,322,3,failure,no,0,2.3502480183341627
36,blue-collar,married,secondary,no,13,no,no,unknown,3,jun,284,1,-1,0,unknown,no,0,2.4533183400470375
48,management,single,secondary,no,290,yes,no,cellular,21,jul,257,2,-1,0,unknown,no,0,2.4099331233312946
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no,0,2.346352974450639
50,technician,married,secondary,no,-568,yes,yes,unknown,28,may,860,2,-1,0,unknown,no,0,2.934498451243568
27,admin.,married,secondary,yes,-517,yes,no,cellular,14,jul,172,3,-1,0,unknown,no,0,2.2355284469075487
31,admin.,married,secondary,no,88,yes,yes,cellular,8,aug,189,2,-1,0,unknown,no,0,2.2764618041732443
35,blue-collar,married,secondary,no,603,yes,no,cellular,17,apr,474,2,-1,0,unknown,no,0,2.6757783416740852
45,management,married,tertiary,no,-459,no,no,cellular,21,aug,508,6,-1,0,unknown,no,0,2.7058637122839193
39,technician,married,tertiary,no,1161,yes,no,cellular,9,apr,236,1,336,1,failure,no,0,2.3729120029701067
41,management,married,tertiary,no,-29,no,no,cellular,29,jan,41,2,266,2,failure,no,0,1.6127838567197355
43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,unknown,no,0,2.374748346010104
60,admin.,married,secondary,no,3043,no,no,cellular,19,aug,235,3,-1,0,unknown,no,0,2.3710678622717363
43,blue-collar,single,primary,no,30,yes,no,unknown,30,may,379,17,-1,0,unknown,no,0,2.578639209968072
60,blue-collar,married,secondary,no,322,yes,no,cellular,7,may,63,1,-1,0,unknown,no,0,1.7993405494535817
42,self-employed,married,secondary,no,97,no,no,cellular,10,jul,108,2,-1,0,unknown,no,0,2.03342375548695
44,self-employed,married,tertiary,no,134,no,no,cellular,28,aug,86,4,-1,0,unknown,no,0,1.9344984512435677
28,blue-collar,single,primary,no,1199,yes,no,cellular,30,jul,1011,20,-1,0,unknown,no,0,3.004751155591001
57,housemaid,married,secondary,no,0,no,no,cellular,22,aug,197,2,-1,0,unknown,no,0,2.294466226161593
39,management,married,tertiary,no,0,yes,no,unknown,2,jun,46,2,-1,0,unknown,no,0,1.662757831681574
47,self-employed,married,secondary,no,0,no,no,unknown,26,jun,174,8,-1,0,unknown,no,0,2.2405492482825995
27,admin.,married,secondary,no,1033,yes,no,unknown,9,may,1713,1,-1,0,unknown,no,0,3.2337573629655103
48,technician,married,secondary,no,5,no,no,unknown,9,jun,65,6,-1,0,unknown,no,0,1.8129133566428555
33,technician,divorced,secondary,no,0,no,no,cellular,21,aug,224,8,-1,0,unknown,no,0,2.3502480183341627
43,technician,married,secondary,no,17,yes,no,unknown,16,may,353,4,-1,0,unknown,no,0,2.5477747053878224
50,management,divorced,tertiary,no,201,yes,no,cellular,24,jul,248,1,-1,0,unknown,no,0,2.3944516808262164
49,blue-collar,married,secondary,no,2039,yes,no,cellular,18,nov,283,2,-1,0,unknown,no,0,2.45178643552429
39,blue-collar,married,secondary,no,293,yes,no,unknown,23,may,160,3,-1,0,unknown,no,0,2.204119982655925
32,management,single,tertiary,no,577,no,no,cellular,7,aug,101,2,-1,0,unknown,no,0,2.0043213737826426
47,admin.,married,secondary,no,1934,no,yes,cellular,14,may,225,1,364,1,failure,no,0,2.3521825181113627
45,services,married,secondary,no,0,no,yes,cellular,8,jul,47,7,-1,0,unknown,no,0,1.6720978579357175
44,admin.,married,secondary,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no,0,1.255272505103306
33,blue-collar,married,secondary,no,687,yes,no,cellular,14,may,72,2,370,1,failure,no,0,1.8573324964312685
32,management,single,tertiary,no,8436,yes,no,cellular,17,apr,245,1,149,2,failure,no,0,2.3891660843645326
49,technician,married,secondary,no,2718,no,no,unknown,19,may,114,2,-1,0,unknown,no,0,2.0569048513364727
36,entrepreneur,married,tertiary,no,6,no,no,telephone,30,oct,246,1,-1,0,unknown,no,0,2.3909351071033793
28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,unknown,no,0,1.3424226808222062
34,self-employed,married,primary,no,712,yes,no,unknown,2,jun,326,3,-1,0,unknown,no,0,2.513217600067939
26,services,single,secondary,no,1700,yes,no,cellular,7,may,13,5,-1,0,unknown,no,0,1.1139433523068367
59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304,1,-1,0,unknown,no,0,2.482873583608754
34,blue-collar,married,secondary,no,250,yes,no,unknown,29,may,193,6,-1,0,unknown,no,0,2.285557309007774
38,blue-collar,married,secondary,no,1205,yes,no,cellular,20,apr,45,4,153,1,failure,no,0,1.6532125137753437
